date,q120,q55,q64,q66,q69
2014-01-07 03:00:00,-0.96,-7.99,-4.58,-1.5,-9.08
2014-01-07 05:00:00,-0.95,-7.98,-4.58,-1.5,-9.04
2014-01-07 07:00:00,-0.95,-7.97,-4.59,-1.5,-9.02
2014-01-07 09:00:00,-0.96,-7.97,-4.59,-1.5,-9.03
2014-01-07 11:00:00,-0.96,-8.0,-4.58,-1.51,-9.02
2014-01-07 13:00:00,-0.96,-7.99,-4.57,-1.51,-9.01
2014-01-07 15:00:00,-0.96,-7.99,-4.57,-1.5,-8.99
2014-01-07 17:00:00,-0.95,-8.05,-4.58,-1.5,-9.0
2014-01-07 19:00:00,-0.96,-8.06,-4.59,-1.51,-9.01
2014-01-07 21:00:00,-0.96,-8.04,-4.6,-1.52,-9.03
2014-01-07 23:00:00,-0.96,-8.04,-4.59,-1.52,-9.03
2014-01-08 01:00:00,-0.96,-8.04,-4.59,-1.51,-9.03
2014-01-08 03:00:00,-0.97,-8.03,-4.59,-1.51,-9.03
2014-01-08 05:00:00,-0.97,-8.02,-4.59,-1.51,-9.03
2014-01-08 07:00:00,-0.97,-8.01,-4.6,-1.51,-9.08
2014-01-08 09:00:00,-0.97,-8.01,-4.61,-1.52,-9.08
2014-01-08 11:00:00,-0.97,-8.02,-4.6,-1.52,-9.38
2014-01-08 13:00:00,-0.97,-8.02,-4.59,-1.52,-9.16
2014-01-08 15:00:00,-0.97,-8.01,-4.59,-1.51,-9.08
2014-01-08 17:00:00,-0.97,-8.01,-4.6,-1.51,-9.05
2014-01-08 19:00:00,-0.97,-8.02,-4.61,-1.52,-9.04
2014-01-08 21:00:00,-0.98,-8.01,-4.61,-1.52,-9.05
2014-01-08 23:00:00,-0.98,-8.0,-4.61,-1.52,-9.05
2014-01-09 01:00:00,-0.98,-7.99,-4.61,-1.52,-9.05
2014-01-09 03:00:00,-0.98,-7.97,-4.6,-1.52,-9.04
2014-01-09 05:00:00,-0.98,-7.95,-4.61,-1.52,-9.04
2014-01-09 07:00:00,-0.98,-7.94,-4.62,-1.52,-9.05
